データ日付,NK 終値,NKVI 終値
20170413,18426.84,22.75
20170414,18335.63,23.03
20170417,18355.26,22.18
20170418,18418.59,20.9
20170419,18432.2,20.49
20170420,18430.49,20.91
20170421,18620.75,20.22
20170424,18875.88,16.79
20170425,19079.33,15.57
20170426,19289.43,15.04
20170427,19251.87,14.69
20170428,19196.74,14.81
20170501,19310.52,15.05
20170502,19445.7,15.27
20170508,19895.7,15.14
20170509,19843,14.81
20170510,19900.09,14.38
20170511,19961.55,14.35
20170512,19883.9,14.55
20170515,19869.85,14.5
20170516,19919.82,14.92
20170517,19814.88,16.16
20170518,19553.86,17.4
20170519,19590.76,17.14
20170522,19678.28,16.39
20170523,19613.28,16.07
20170524,19742.98,15.21
20170525,19813.13,14.8
20170526,19686.84,14.75
20170529,19682.57,14.74
20170530,19677.85,14.1
20170531,19650.57,13.9
20170601,19860.03,13.68
20170602,20177.28,15.05
20170605,20170.82,14.31
20170606,19979.9,14.51
20170607,19984.62,14.35
20170608,19909.26,14.02
20170609,20013.26,13.28
20170612,19908.58,13.9
20170613,19898.75,13.83
20170614,19883.52,14.01
20170615,19831.82,14.03
20170616,19943.26,13.36
20170619,20067.75,13.29
20170620,20230.41,13.52
20170621,20138.79,13.95
20170622,20110.51,14.05
20170623,20132.67,13.72
20170626,20153.35,13.73
20170627,20225.09,13.7
20170628,20130.41,14.06
20170629,20220.3,13.6
20170630,20033.43,15.75
20170703,20055.8,14.95
20170704,20032.35,16.02
20170705,20081.63,15.49
20170706,19994.06,16.27
20170707,19929.09,16.18
20170710,20080.98,14.42
20170711,20195.48,13.3
20170712,20098.38,13.84
20170713,20099.81,13.33
20170714,20118.86,12.75
20170718,19999.91,13.47
20170719,20020.86,12.61
20170720,20144.59,12.42
20170721,20099.75,12.24
20170724,19975.67,13.26
20170725,19955.2,12.62
20170726,20050.16,12.23
20170727,20079.64,12.48
20170728,19959.84,14.03
20170731,19925.18,13.88
20170801,19985.79,13.35
20170802,20080.04,12.19
20170803,20029.26,12.56
20170804,19952.33,12.73
20170807,20055.89,12.51
20170808,19996.01,12.88
20170809,19738.71,16.06
20170810,19729.74,16.26
20170814,19537.1,18.59
20170815,19753.31,15.88
20170816,19729.28,15.35
20170817,19702.63,14.98
20170818,19470.41,17.32
20170821,19393.13,17.4
20170822,19383.84,16.3
20170823,19434.64,15.47
20170824,19353.77,15.74
20170825,19452.61,15.2
20170828,19449.9,14.52
20170829,19362.55,15.41
20170830,19506.54,14.77
20170831,19646.24,15.14
20170901,19691.47,15.17
20170904,19508.25,16.55
20170905,19385.81,17.09
20170906,19357.97,17.53
20170907,19396.52,17.21
20170908,19274.82,19.22
20170911,19545.77,15.31
20170912,19776.62,13.67
20170913,19865.82,13.56
20170914,19807.44,13.88
20170915,19909.5,14.09
20170919,20299.38,14.15
20170920,20310.46,14.08
20170921,20347.48,13.55
20170922,20296.45,13.66
20170925,20397.58,14.02
20170926,20330.19,14.98
20170927,20267.05,14.12
20170928,20363.11,14.56
20170929,20356.28,15.5
20171002,20400.78,15.47
20171003,20614.07,15
20171004,20626.66,15.67
20171005,20628.56,15.01
20171006,20690.71,14.82
20171010,20823.51,15.05
20171011,20881.27,15.36
20171012,20954.72,15.34
20171013,21155.18,16.36
20171016,21255.56,16.75
20171017,21336.12,15.82
20171018,21363.05,15.04
20171019,21448.52,15.18
20171020,21457.64,16.05
20171023,21696.65,14.67
20171024,21805.17,14.88
20171025,21707.62,15.7
20171026,21739.78,15.28
20171027,22008.45,15.01
20171030,22011.67,15.27
20171031,22011.61,15.11
20171101,22420.08,16.34
20171102,22539.12,17.17
20171106,22548.35,16.45
20171107,22937.6,16.51
20171108,22913.82,17.25
20171109,22868.71,21.25
20171110,22681.42,19.97
20171113,22380.99,19.55
20171114,22380.01,18.58
20171115,22028.32,19.74
20171116,22351.12,19.2
20171117,22396.8,20.06
20171120,22261.76,19.44
20171121,22416.48,18.26
20171122,22523.15,18.14
20171124,22550.85,17.77
20171127,22495.99,17.72
20171128,22486.24,17.89
20171129,22597.2,17.45
20171130,22724.96,17.09
20171201,22819.03,17.22
20171204,22707.16,17.46
20171205,22622.38,16.79
20171206,22177.04,17.84
20171207,22498.03,16.18
20171208,22811.08,15.58
20171211,22938.73,15.29
20171212,22866.17,14.75
20171213,22758.07,14.74
20171214,22694.45,14.4
20171215,22553.22,14.55
20171218,22901.77,14.61
20171219,22868,14.42
20171220,22891.72,14.39
20171221,22866.1,13.83
20171222,22902.76,13.49
20171225,22939.18,14.18
20171226,22892.69,14.7
20171227,22911.21,15.19
20171228,22783.98,15.64
20171229,22764.94,16.03
20180104,23506.33,15.52
20180105,23714.53,15.63
20180109,23849.99,16.81
20180110,23788.2,16.17
20180111,23710.43,15.72
20180112,23653.82,14.91
20180115,23714.88,14.91
20180116,23951.81,14.74
20180117,23868.34,15.48
20180118,23763.37,16.12
20180119,23808.06,15.85
20180122,23816.33,16.33
20180123,24124.15,16.16
20180124,23940.78,16.33
20180125,23669.49,16.78
20180126,23631.88,16.66
20180129,23629.34,16.53
20180130,23291.97,17.65
20180131,23098.29,17.97
20180201,23486.11,17.2
20180202,23274.53,17.55
20180205,22682.08,20.45
20180206,21610.24,31.02
20180207,21645.37,30.97
20180208,21890.86,28.07
20180209,21382.62,36.05
20180213,21244.68,33.75
20180214,21154.17,30.02
20180215,21464.98,25.37
20180216,21720.25,23.48
20180219,22149.21,22.21
20180220,21925.1,23.84
20180221,21970.81,22.96
20180222,21736.44,25.01
20180223,21892.78,22.08
20180226,22153.63,20.72
20180227,22389.86,21.03
20180228,22068.24,22.09
20180301,21724.47,24.59
20180302,21181.64,26.88
20180305,21042.09,28.39
20180306,21417.76,25.62
20180307,21252.72,27.39
20180308,21368.07,25.09
20180309,21469.2,24.34
20180312,21824.03,22.37
20180313,21968.1,21.28
20180314,21777.29,21.15
20180315,21803.95,21.08
20180316,21676.51,21.79
20180319,21480.9,21.91
20180320,21380.97,22.02
20180322,21591.99,20.64
20180323,20617.86,27
20180326,20766.1,25.41
20180327,21317.32,22.82
20180328,21031.31,24.11
20180329,21159.08,23.8
20180330,21454.3,22.55
20180402,21388.58,22.82
20180403,21292.29,22.98
20180404,21319.55,22.25
20180405,21645.42,21.63
20180406,21567.52,22.86
20180409,21678.26,21.24
20180410,21794.32,20.96
20180411,21687.1,20.89
20180412,21660.28,19.82
20180413,21778.74,18.46
20180416,21835.53,17.92
20180417,21847.59,16.94
20180418,22158.2,17.03
20180419,22191.18,16.89
20180420,22162.24,16
20180423,22088.04,16.32
20180424,22278.12,16.1
20180425,22215.32,16.43
20180426,22319.61,16.94
20180427,22467.87,16.14
20180501,22508.03,15.93
20180502,22472.78,15.17
20180507,22467.16,15.42
20180508,22508.69,14.86
20180509,22408.88,14.95
20180510,22497.18,14.77
20180511,22758.48,15.19
20180514,22865.86,14.56
20180515,22818.02,14.4
20180516,22717.23,15.2
20180517,22838.37,14.5
20180518,22930.36,14.48
20180521,23002.37,14.56
